OTU	001-06Apr2021-V3-T	001-06Apr2021-V3-T-2	001-06Apr2021-V3-U	001-19Jul2021-V6-T	001-19Jul2021-V6-U	001-21Apr2021-V4-T	001-21Jun2021-V5-T	001-21Jun2021-V5-U	001-23Mar2021-V2-T	001-23Mar2021-V2-U	002-23Jun2021-V3-T	002-23Jun2021-V3-U	002-4Oct2021-V6-T	002-4Oct2021-V6-U	002-6Jul2021-V4-T	002-6Jul2021-V4-T-2	002-6Jul2021-V4-U	002-7Sep2021-V5-T	002-7Sep2021-V5-U	002-8Jun2021-V2-T	002-8Jun2021-V2-T-2	002-8Jun2021-V2-U	003-01Jul2021-V2-T	003-01Jul2021-V2-U	003-01Jul2021-V2-U-2	003-16Jul2021-V3-T	003-16Jul2021-V3-T-2	003-16Jul2021-V3-U	003-23Mar2021-V5-T	003-23Mar2021-V5-U	003-23Sep2021-V6-T	003-23Sep2021-V6-U	003-28Oct2021-V6-U	003-30Jul2021V4-T	003-30Jul2021V4-U	004-04Oct2021-V6-T	004-04Oct2021-V6-U	004-07Sep2021-V5-T	004-07Sep2021-V5-U	004-08Jun2021-V2-T	004-08Jun2021-V2-U	004-12Jul2021-V4-T	004-12Jul2021-V4-U	004-23Jun2021V3-T	004-23Jun2021V3-U	005-07Jul2021-V4-T	005-07Jul2021-V4-U	005-07Oct2021-V6-T	005-07Oct2021-V6-U	005-08Sep2021-V5-T	005-08Sep2021-V5-U	005-10Jun2021-V2-T	005-10Jun2021-V2-U	005-24Jun2021-V3-T	005-24Jun2021-V3-U	006-04Oct2021-V6-T	006-04Oct2021-V6-U	006-04Oct2021-V6-U-2	006-07Sep2021-V5-T	006-07Sep2021-V5-U	006-11Jun2021-V2-U	006-13Jul2021-V4-T	006-13Jul2021-V4-T-2	006-13Jul2021-V4-U	006-25Jun2021-V3-T	006-25Jun2021-V3-U	007-02Jun2021-V3-T	007-02Jun2021-V3-U	007-12Oct2021-V6-T	007-12Oct2021-V6-U	007-16Jul2021-V4-T	007-16Jul2021-V4-U	007-16Sep2021-V5-T	007-16Sep2021-V5-U	007-18Jun2021-V2-T	007-18Jun2021-V2-U	007-18Jun2021-V2-U-2	008-02Nov2021-V6-T	008-02Nov2021-V6-U	008-04Oct2021-V5-T	008-04Oct2021-V5-U	008-13Jul2021-V3-T	008-13Jul2021-V3-U	008-25Jun2021-V2-T	008-25Jun2021-V2-U	008-27Jul2021-V4-T	008-27Jul2021-V4-T-2	008-27Jul2021-V4-U	009-13Jul2021-V3-T	009-13Jul2021-V3-U	009-26Oct2021-V6-T	009-26Oct2021-V6-U	009-27Jul2021-V4-T	009-27Jul2021-V4-U	009-27Sep2021-V5-T	009-27Sep2021-V5-T-2	009-27Sep2021-V5-U	009-29Jun2021-V2-T	009-29Jun2021-V2-U	010-01Nov2021-V6-T	010-01Nov2021-V6-T-2	010-01Nov2021-V6-U	010-01Nov2021-V6-U-2	010-03Aug2021-V4-T	010-03Aug2021-V4-T-2	010-03Aug2021-V4-U	010-04Oct2021-V5-T	010-04Oct2021-V5-U	010-06Jul2021-V2-T	010-06Jul2021-V2-U	010-20Jul2021-V3-T	010-20Jul2021-V3-U	011-02NOV2021-V3-T	011-02NOV2021-V4-U	011-05OCT2021-V2-T	011-05OCT2021-V2-U	011-05OCT2021-V2-U-2	011-18OCT2021-V3-U	011-18OCT2021-V3-U-2	011-18OCT2021-V4-T	012-01FEB2022-V6-T	012-01FEB2022-V6-T-2	012-01FEB2022-V6-U	012-01FEB2022-V6-U-2	012-05NOV2021-V4-T	012-05NOV2021-V4-U	012-05NOV2021-V4-U-2	012-07JAN2022-V5-T	012-07JAN2022-V5-T-2	012-07JAN2022-V5-U	012-07OCT2021-V2-T	012-07OCT2021-V2-U	012-22OCT2021-V3-T	012-22OCT2021-V3-U	013-08FEB2022-V6-T	013-08FEB2022-V6-U	013-09NOV2021-V4-T	013-09NOV2021-V4-U	013-11JAN2022-V5-T	013-11JAN2022-V5-T-2	013-11JAN2022-V5-U	013-12OCT2021-V2-T	013-12OCT2021-V2-U	013-12OCT2021-V2-U-2	013-26OCT2021-V3-T	013-26OCT2021-V3-U	014-08FEB2022-V6-T	014-08FEB2022-V6-U	014-09NOV2021-V4-T	014-09NOV2021-V4-U	014-11JAN2022-V5-T	014-11JAN2022-V5-U	014-12OCT2021-V2-T	014-12OCT2021-V2-U	014-26OCT2021-V3-T	014-26OCT2021-V3-U	015-09NOV2021-V3-T	015-09NOV2021-V3-U	015-22FEB2022-V6-T	015-22FEB2022-V6-U	015-23NOV2021-V4-T	015-23NOV2021-V4-U	015-25JAN2022-V5-T	015-25JAN2022-V5-U	015-26OCT2021-V2-T	015-26OCT2021-V2-U	016-01NOV2021-V2-T	016-01NOV2021-V2-T-2	016-01NOV2021-V2-U	016-16NOV2021-V3-T	016-16NOV2021-V3-U	016-16NOV2021-V3-U-2	017-07DEC2021-V3-T	017-07DEC2021-V3-U	017-07DEC2021-V3-U-2	017-17DEC2021-V4-T	017-17DEC2021-V4-U	017-17FEB2022-V5-T	017-17FEB2022-V5-U	017-22MAR2022-V6-T	017-22MAR2022-V6-U	017-23NOV2021-V2-T	017-23NOV2021-V2-U	017-23NOV2021-V2-U-2	018-07DEC2021-V3-T	018-07DEC2021-V3-U	018-21DEC2021-V4-T	018-21DEC2021-V4-U	018-23MAR2022-V6-T	018-23MAR2022-V6-U	018-23NOV2021-V2-T	018-23NOV2021-V2-U	018-23NOV2021-V2-U-2	018-24FEB2022-V5-T	018-24FEB2022-V5-U	019-07DEC2021-V3-T	019-07DEC2021-V3-U	019-21DEC2021-V4-T	019-21DEC2021-V4-U	019-21DEC2021-V4-U-2	019-22MAR2022-V6-T	019-22MAR2022-V6-U	019-23FEB2022-V5-T	019-23FEB2022-V5-T-2	019-23FEB2022-V5-U	019-23NOV2021-V2-T	019-23NOV2021-V2-U	020-17DEC2021-V2-T	020-17DEC2021-V2-U	020-17DEC2021-V2-U-2	020-18APR2022-V6-T	020-18APR2022-V6-U	020-21JAN2022-V3-T	020-21JAN2022-V3-U	020-21JAN2022-V3-U-2	020-23MAR2022-V5-T	020-23MAR2022-V5-U	020-23MAR2022-V5-U-2	020-28JAN2022-V4-T	020-28JAN2022-V4-T-2	020-28JAN2022-V4-U	020-28JAN2022-V4-U-2	lysis-buffer	lysis-buffer-2	Mock	Mock2	negative	negative2
class	Treated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Untreated	Untreated	Treated	Treated	Treated	Untreated	Untreated	Treated	Untreated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Treated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Treated	Untreated	Untreated	Treated	Untreated	Untreated	Treated	Treated	Untreated	Untreated	lysis	lysis	Mock	Mock	Negative	Negative
V#	V3	V3	V3	V6	V6	V4	V5	V5	V2	V2	V3	V3	V6	V6	V4	V4	V4	V5	V5	V2	V2	V2	V2	V2	V2	V3	V3	V3	V5	V5	V6	V6	V6	#N/A	#N/A	V6	V6	V5	V5	V2	V2	V4	V4	#N/A	#N/A	V4	V4	V6	V6	V5	V5	V2	V2	V3	V3	V6	V6	V6	V5	V5	V2	V4	V4	V4	V3	V3	V3	V3	V6	V6	V4	V4	V5	V5	V2	V2	V2	V6	V6	V5	V5	V3	V3	V2	V2	V4	V4	V4	V3	V3	V6	V6	V4	V4	V5	V5	V5	V2	V2	V6	V6	V6	V6	V4	V4	V4	V5	V5	V2	V2	V3	V3	V3	V4	V2	V2	V2	V3	V3	V4	V6	V6	V6	V6	V4	V4	V4	V5	V5	V5	V2	V2	V3	V3	V6	V6	V4	V4	V5	V5	V5	V2	V2	V2	V3	V3	V6	V6	V4	V4	V5	V5	V2	V2	V3	V3	V3	V3	V6	V6	V4	V4	V5	V5	V2	V2	V2	V2	V2	V3	V3	V3	V3	V3	V3	V4	V4	V5	V5	V6	V6	V2	V2	V2	V3	V3	V4	V4	V6	V6	V2	V2	V2	V5	V5	V3	V3	V4	V4	V4	V6	V6	V5	V5	V5	V2	V2	V2	V2	V2	V6	V6	V3	V3	V3	V5	V5	V5	V4	V4	V4	V4	lysis	lysis	Mock	Mock	Negative	Negative
Subject ID	001	001	001	001	001	001	001	001	001	001	002	002	002	002	002	002	002	002	002	002	002	002	003	003	003	003	003	003	003	003	003	003	003	003	003	004	004	004	004	004	004	004	004	004	004	005	005	005	005	005	005	005	005	005	005	006	006	006	006	006	006	006	006	006	006	006	007	007	007	007	007	007	007	007	007	007	007	008	008	008	008	008	008	008	008	008	008	008	009	009	009	009	009	009	009	009	009	009	009	010	010	010	010	010	010	010	010	010	010	010	010	010	011	011	011	011	011	011	011	011	012	012	012	012	012	012	012	012	012	012	012	012	012	012	013	013	013	013	013	013	013	013	013	013	013	013	014	014	014	014	014	014	014	014	014	014	015	015	015	015	015	015	015	015	015	015	016	016	016	016	016	016	017	017	017	017	017	017	017	017	017	017	017	017	018	018	018	018	018	018	018	018	018	018	018	019	019	019	019	019	019	019	019	019	019	019	019	020	020	020	020	020	020	020	020	020	020	020	020	020	020	020	lysis	lysis	Mock	Mock	Negative	Negative
fe11eae7da0d9f0834952fba7245e843	71	343	113	3563	361	1045	5291	0	4819	1857	10749	61610	2138	33950	7	361	24954	9788	21	8180	11146	61036	1156	0	35	2749	8819	25	7869	2764	8696	3553	20	638	353	894	58	3545	1245	4074	8768	7014	45	4710	202	2225	43989	5853	4482	6417	17828	31627	1572	14286	22601	49193	2979	8033	48156	115	56389	1418	8651	871	82495	4046	10017	750	204461	201648	202485	95709	83902	128668	86362	542	4701	1102	792	11310	813	240	0	3847	3708	165	101	21	1645	113806	9320	39914	835	162262	194	2850	16046	2086	16530	1692	2647	2080	1593	964	207	6481	15640	2402	129345	11	10534	2283	4112	206	1621	270	0	47	410	946	2676	3752	66	597	8034	878	4448	0	30	647	14063	45	21777	1327	3060	2471	4094	561	111	3519	2716	668	0	34	4744	36	1119	8334	21093	4857	9188	80328	21901	6037	20011	3027	20502	195	11485	10266	24902	3175	5776	401	14805	11911	3108	8232	13749	6168	752	11352	301	1531	4456	1168	319	773	1675	1046	808	6906	1750	1121	18	3803	18405	23402	6049	1904	17855	684	2039	21729	9412	161619	14130	54224	1886	2911	10048	2835	141	48	26863	19669	5926	102	4623	7314	293	2305	627	102	2737	2929	5	2508	115	0	820	779	12	26	51843	87274	0	29
c54ca1447d55bea9815892dfc3398d4f	20	683	73	2804	7198	22	2236	17	1217	156	43332	996	52371	757	160	1463	311	21461	58	15335	21321	488	114	133	359	33	103	210	640	697	430	468	409	42	109	3684	1536	5283	585	1438	1563	3476	36	1713	0	966	1822	38032	4241	8312	573	297	72	177	695	764	15	402	169	23	2091	4	189	604	18684	28	2885	13	1199	340	407	1561	3147	333	5612	9	542	2120	2403	3821	630	2086	355	4799	557	566	2387	290	555	3755	3908	0	18	3167	55	2112	3234	651	4895	427	1548	8	11	762	1176	48614	4950	3485	3634	699	1041	3253	28949	15513	10298	820	1088	595	815	36010	1549	2086	0	1086	200	647	1073	373	625	2466	155	15	155	704	10138	6806	4292	6271	1464	28182	38948	866	94	37	4838	1334	1860	7864	20070	4168	25844	3697	18651	13876	22810	2699	158955	749	74392	31540	122795	29310	55565	5740	65034	34413	3626	3377	7876	22775	3296	52170	1496	10303	25606	7556	3127	10368	6705	7423	7227	20903	2648	5464	19	14635	8740	6452	3561	535	5177	8	29	19934	7130	11693	9620	622	448	5212	10846	1825	27	1406	19715	11246	4340	2232	3983	7181	2141	1327	3985	104	189	4874	0	32	2244	2122	312	682	18	21	493	648	0	31
4db520c2ffa69c6a6bc6ee319f3af1e4	0	9	0	119	607	0	334	0	514	332	1843	28	97	152	30	8	12	474	416	888	258	181	221	0	0	14	0	761	250	647	1155	22	22	0	0	997	7	5341	2161	0	1432	668	565	26	206	0	818	30	1083	896	340	1522	41	6528	633	200	55	869	692	164	43	0	0	0	788	0	20678	1511	29198	31450	15085	12216	41397	9392	69131	21	614	250	451	1227	330	81	26	531	0	66	393	192	19	4094	4732	0	0	3988	185	970	4783	299	886	445	668	0	0	251	76	2355	6991	0	4306	0	2890	157	192	33	705	6	0	978	115	129	0	0	0	7	0	0	0	0	0	665	0	0	105	725	423	119	225	149	0	0	273	0	0	6	2481	0	0	2155	2328	2815	7535	256	1501	4478	5114	2842	593	0	2113	6595	270	0	571	21	994	1660	0	0	595	427	0	573	0	0	525	0	178	0	0	55	0	384	74	0	0	682	40809	13631	2839	574	3610	1116	15	12066	2142	395	0	63	0	11	74	0	0	7	225	2933	1358	603	2549	6155	1248	1995	1391	0	1465	703	0	0	88	8	4	0	0	0	62	73	0	0
1b40c03f1d9872bc63ea7ab84f0a1610	16	1018	58	12865	83	0	59	0	3335	2062	832	1118	75	0	0	0	0	0	781	400	0	11	2208	869	0	0	37	2511	5042	168	1602	123	37	1335	754	1082	77	2335	0	2832	1903	2519	9	3434	0	305	1075	0	1130	2070	337	188	62	353	8013	3766	0	0	1749	325	305	0	0	271	19354	734	754	113	963	99	63	1068	22	146	373	0	0	272	1773	1137	982	72	1660	5707	392	108	0	0	8	734	665	235	0	844	416	11	341	0	1466	325	0	0	0	0	12	509	19	0	0	0	0	0	879	1240	4063	0	12	0	6	391	552	0	0	313	0	0	722	0	0	83	0	0	342	0	562	684	306	935	143	511	22664	0	39	3	6131	7453	0	1066	2253	767	2961	152	2144	517	2070	0	16564	0	2037	4429	1392	11192	486	120	426	51	0	7	85	1227	81	1049	0	164	371	3	0	76	8	464	803	0	7	0	0	1055	23141	1061	3093	372	703	0	128	13684	1653	3590	1052	0	0	0	1464	1410	0	0	3592	11339	4111	8	79	1472	135	45	709	0	0	280	0	4	428	917	126	0	0	0	62	48	0	0
3a90affc0355abd5d3b5944599743b84	0	0	0	0	0	0	0	0	11	0	22	63	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	43	0	0	36	0	42	0	0	0	0	0	0	0	109	0	71	41	36	36	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	19	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	34	0	0	0	0	7	0	0	0	0	0	65	0	0	20	0	38	0	0	0	0	10	0	0	17	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	47	0	0	32	17	78	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113479	168483	0	0
0192527d5e01d3cf67b6bbf58b16b30b	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	10	0	4	0	0	0	27	0	0	18	0	0	0	0	0	0	0	0	0	45	32	34	0	0	13	18	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	3	0	5	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	27	0	0	0	5	14	0	11	0	13	0	0	0	0	16	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	10	0	42	0	0	0	0	0	0	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82864	134701	0	0
67989d7b0d285ec8582973945cd607d1	0	0	0	0	0	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	100	0	42	0	0	198	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	4338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	535	177	122	0	189	0	0	73	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29044	759	18739	9898	31315	7500	15637	996	7241	5355	0	0	61	356	95	3737	1410	2916	4688	559	1609	6350	1983	1091	4213	3602	623	460	0	0	109	117	0	0	0	0	0	89	0	0	1777	0	0	0	0	0	0	0	0	0	0	2753	2622	6230	6731	0	6888	0	546	4099	0	0	1921	6269	0	0	0	0	0	0	0	0
