"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Abditibacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Actinomyces",0.14863251640833,-0.446453001503155,0.287621494212165,0.585742823721651,0.516764287090069,-0.762199694853304,0.614711552735111,0.46066028154424,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Varibaculum",-0.202892845113473,0.22449892911937,NA,0.27552925190614,NA,0.814791633070766,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Bifidobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Gardnerella",-0.84932271607557,2.23302241933406,NA,0.27552925190614,NA,8.10448402079191,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Corynebacterium",0.032277108873699,0.50767828807948,0.429076240603603,0.586479041136395,0.075224647322101,0.865637563272123,0.940747987745614,0.396470910305713,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Lawsonella",-0.62428202319647,1.27163561450813,0.569530592734959,0.708775220072288,-1.09613430983327,1.79413102842173,0.291518004475429,0.0944101062062261,1,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Dietzia",0.17664305064742,-0.508272666392794,NA,0.27552925190614,NA,-1.84471399271225,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Mycobacterium",1.09628223444484,0.428390444278265,NA,0.27552925190614,NA,1.55479115670883,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Gordonia",-0.425626710181035,0.217201095016767,0.113380764633998,0.274612044116921,-3.7539587209082,0.790937978395041,0.0642028892836106,0.511876672580612,0.586739789107508,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Rhodococcus",-0.403187262082476,0.594472802654805,0.157810371673816,0.292217777989834,-2.5548844338054,2.03434851481037,0.125092650158386,0.178908393448699,0.781108745895304,0.674740226720808,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Blastococcus",-0.425094877351334,0.356431535308502,0.10542415034429,0.359467831646085,-4.03223432167182,0.991553357295759,0.00686286779050713,0.359703223048319,0.192348091596776,0.930996577301531,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Modestobacter",-1.31432634908825,2.89731953078072,NA,0.27552925190614,NA,10.5154698121407,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Glycomyces",-0.231593566460581,0.488848871471973,NA,0.27552925190614,NA,1.77421768501916,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Brevibacterium",0.595680979145076,-0.74970331235288,0.25495266698314,0.619882381513417,2.33643752855689,-1.20942832819754,0.066674976034944,0.280558629081892,0.586739789107508,0.850967582259773,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Brachybacterium",0.673922180193872,-1.77227620495013,0.235952394900419,0.4252811121734,2.85617859686609,-4.16730523463153,0.0461070368922344,0.0140617971904908,0.468163759213457,0.206239692127198,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Dermabacter",-0.59966237168311,0.844379729575752,0.107902428941441,0.279806806843215,-5.5574501664698,3.01772404718119,0.0308857319321134,0.094501332101777,0.407691661503897,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Dermacoccus",0.165775169881675,0.712033135743335,NA,0.27552925190614,NA,2.58423790148384,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","g__Curtobacterium",0.433408926759978,-0.468358433915465,0.294762867106925,0.40621707921116,1.47036474103354,-1.15297573116566,0.156288136648219,0.261875802986253,0.781108745895304,0.843112341321597,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","g__Microbacterium",0.0332497902822977,-0.931912098897564,0.102368787510812,0.288491456913207,0.324803986554846,-3.23029357218689,0.77615676554495,0.0839426766583229,1,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","g__Pseudoclavibacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"22","g__Kocuria",-0.0399160422520166,0.587183428147029,0.209533168033495,0.33589259231785,-0.190499874681587,1.74812854339874,0.85641061264993,0.140861651087787,1,0.594084943179442,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"23","g__Micrococcus",-0.106988778968669,-0.15377852387785,0.225165457874279,0.521688538587226,-0.475156269432794,-0.294770754010226,0.645994983492971,0.774855313735388,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"24","g__Rothia",0.0411402870878227,0.0596393961130965,0.330658691360427,0.518111505355894,0.124419191640055,0.115109190775699,0.903227912630752,0.910432940429814,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"25","g__Nocardioides",0.247851856994882,-0.283923099370149,0.277558669975176,0.383338844411129,0.892971050110054,-0.74065830663809,0.412783542911715,0.49219467053349,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"26","g__Cutibacterium",0.0194195756807383,0.480685586551052,0.573577166542293,0.842625468543078,0.0338569538913234,0.570461734775439,0.973296527546369,0.574145393224861,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"27","g__Pseudonocardia",-1.24212079102842,1.05128662642078,NA,0.324945285632752,NA,3.23527274560593,1,0.190844560025616,1,0.680850862794089,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"28","g__Saccharopolyspora",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
