"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Vicinamibacteraceae",-1.20407610942818,1.43079864767203,0.980789930601444,0.77550037233179,-1.22765953427949,1.84500059409368,0.28794730887867,0.212531000053442,1,0.631470220845942,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Iamia",0.847475931611001,-1.2110634763785,0.922040776027408,1.07243329483728,0.919130643291431,-1.1292669504095,0.410037853298303,0.321920892975643,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Actinomyces",-0.00356144396600488,0.386040346485876,0.409120002403534,0.389234289841974,-0.00870513283408731,0.991794290895095,0.993105739771018,0.325130419129338,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__F0332",-0.902776122168874,1.48439795656494,0.668065610277621,0.598469525960153,-1.35132853462359,2.4803233785103,0.235654946779987,0.0382712105184024,1,0.532889382073595,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Mobiluncus",0.16381466830766,-0.164162688108068,1.04290453268242,1.2664062313858,0.157075420783068,-0.129628774748233,0.880337819864517,0.901096627318148,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Varibaculum",-0.00176769463349022,0.317191320732969,0.516439260646643,0.553744307040923,-0.00342285098789131,0.572811885738318,0.997314072772265,0.575258675837024,1,0.89884168099535,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Bifidobacterium",-0.0281241654453315,0.0912787091350529,0.8043273076939,0.760024178432676,-0.0349660706236206,0.120099743830898,0.973259710095518,0.915387811566302,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Gardnerella",-0.754185999142695,1.33667819725211,0.888490196533727,0.802577645502665,-0.848839978296897,1.66548147053726,0.420082570068636,0.126296050863196,1,0.546473297004216,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Corynebacterium",-0.134791845455778,0.634498976262131,0.485893450127105,0.346789425943275,-0.277410295241719,1.8296376094406,0.783320721556077,0.0704522046895977,1,0.532889382073595,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Lawsonella",-0.224112200839751,0.444855947726623,0.526833480680276,0.402126785210585,-0.425394757657325,1.10625793676902,0.673512002930434,0.274072345150178,1,0.700753155213523,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Turicella",-0.375725084489877,0.949735114296428,1.27078544169091,0.0935663793309923,-0.295663667652611,10.1503886448008,0.781962380293906,0.996626386215345,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Dietzia",-0.314144407068757,0.793785861656811,0.608102066790265,0.0710873691155384,-0.516598157159538,11.1663418063295,0.622316533253009,1.53047695593564e-06,1,0.000309767928738265,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"13","g__Mycobacterium",0.499493105736631,-0.108758328805474,0.635993524624107,0.453284259116097,0.785374514672688,-0.239934051576272,0.47338014712963,0.812812008334969,1,0.988555145272259,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Gordonia",-0.0481055494851654,-0.164065849942292,0.747915009305825,0.523478834317063,-0.0643195401704994,-0.313414486292143,0.952118816663157,0.758772015821127,1,0.969501548176296,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Rhodococcus",0.269757680986179,-0.212254033492413,0.481257212850341,0.52500576660243,0.560527039976161,-0.404288956416637,0.58105159769387,0.690088219609947,1,0.935360538627941,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Williamsia",-0.0204489645075054,0.00232789446395304,0.655506093774591,0.857644665180305,-0.03119568940962,0.00271428781459702,0.977258866346852,0.99796500831104,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Blastococcus",-0.15121867275363,0.193944020343022,0.654595402231006,0.633441937323256,-0.231010899615615,0.306174897675032,0.819615329532188,0.762674551232019,1,0.969501548176296,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Geodermatophilus",-0.107500597673273,0.411037046558897,0.649119926296351,0.712508498972407,-0.16560976380225,0.576887219102231,0.875288671008547,0.600163736253896,1,0.901397586803609,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
