"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Actinomyces",-0.0874225047836974,0.121586378205604,0.636684382978457,0.733183101194295,-0.137309013886486,0.165833579644089,0.892642549635256,0.873535074651763,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__F0332",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Mobiluncus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__Varibaculum",0.338733117407524,0.259193059462481,0.530136062170266,0.209965971039434,0.638955056218627,1.23445269811746,0.566756164036484,0.434193597799856,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Bifidobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Gardnerella",-1.0320740507752,2.93101676365768,1.0316472430342,1.76290376027936,-1.00041371480793,1.66260735821064,0.499868337763619,0.738907688069175,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Corynebacterium",0.108361995552001,0.37234602404486,0.719491374968614,0.63690405187027,0.15060916547711,0.584618708189194,0.882424700534753,0.571757281564612,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Lawsonella",0.252895394857114,-0.159938030520454,0.761055842110388,1.08992040817874,0.332295451744831,-0.146742853258167,0.745913922297593,0.888305804244422,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Mycobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Gordonia",0.248235844758741,-1.69260285803878,0.329978774237516,0.451981710221785,0.752278219507727,-3.74484812053176,0.530369040877954,0.0637723142517348,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Rhodococcus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Williamsia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Blastococcus",-0.948157256867511,1.10364714704835,3.75563373810922,4.638226499274,-0.252462652906314,0.237945936279977,0.842567044833382,0.851284421748749,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Nakamurella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Kineococcus",-0.107389436779387,-0.208063910601898,0.890551690239915,0.144738411097727,-0.120587539113486,-1.4375168901185,0.911640676819636,0.246129223959754,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Quadrisphaera",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Brevibacterium",0.461460122244091,-0.656510463989251,0.80977183862576,0.576297263967532,0.56986437442332,-1.13918719563145,0.594333889109293,0.440568863806306,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Cellulomonas",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","g__Brachybacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","g__Dermabacter",-0.0457560268824361,0.58818376874771,0.778197364743582,1.63663517661655,-0.0587974580169811,0.359385999489315,0.956810854522001,0.741337438376489,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","g__Curtobacterium",0.216944691029455,0.0817547288304211,0.508900876975648,0.660709843099341,0.426300485703105,0.123737718885669,0.674041822750351,0.903755005894332,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"22","g__Microbacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"23","g__Arthrobacter",-0.311278214656015,0.332609942689196,0.8630194620848,1.21247411761965,-0.360685046318723,0.274323334292843,0.752868114294126,0.809573583365038,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"24","g__Kocuria",0.655710491919361,-0.341847122588466,1.10407871800425,1.27306457389547,0.593898316511918,-0.268523003151713,0.57438802802039,0.799733070104688,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"25","g__Micrococcus",0.402053115638516,-0.655175566035838,0.692069156764723,0.595254134969734,0.580943554135585,-1.10066529158869,0.576569361254021,0.321856233359434,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"26","g__Nesterenkonia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"27","g__Rothia",-0.0331672843362938,0.101930245866437,0.929759034349688,1.01088519752073,-0.0356729895714241,0.10083266241946,0.972323370932733,0.923942642799379,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"28","g__Aeromicrobium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"29","g__Marmoricola",0.656494523479216,-1.54726679477777,0.534850439063424,0.649544588284656,1.22743570077048,-2.3820794179255,0.344525598408804,0.132937752805063,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"30","g__Nocardioides",1.06056010179319,-2.78967191245807,0.674848920231826,1.05947978456001,1.57155189850325,-2.63305817922386,0.167112456285282,0.0389000539349322,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"31","g__Cutibacterium",-0.0920880750744175,0.699820261038164,0.747899809188796,0.57470406296069,-0.123128892323559,1.21770543509457,0.90375073789999,0.248812508335675,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"32","g__Friedmanniella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"33","g__Microlunatus",-1.53940339515101,1.29806372154089,1.57051612504702,0.707021794908583,-0.980189487137496,1.83595998155719,0.506220011715367,0.314715373360704,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"34","g__Pseudopropionibacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35","g__Pseudonocardia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"36","g__Streptomyces",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"37","g__Atopobium",-1.39161588336157,1.20191985649476,1.39880477959449,0.9696475794063,-0.994860686539121,1.23954298656701,0.499485186096526,0.419051063016561,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"38","g__Olsenella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"39","g__Gaiella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"40","g__67-14",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"41","g__Bacteroides",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"42","g__Porphyromonas",-0.691935808814761,1.27664101726633,0.676555004671865,0.97511206641527,-1.02273400394157,1.30922492012589,0.333136511730188,0.222895102272574,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"43","g__Alloprevotella",-0.669744715527834,0.798589687745245,0.836278322536021,0.537785164051188,-0.800863417691884,1.48496042867637,0.451446551504593,0.355692375230804,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"44","g__Prevotella",-0.626604883805677,1.95046732252314,0.751623306647365,1.31911412334664,-0.83366877831485,1.47861908837329,0.428655280683989,0.196090487139708,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"45","g__Niabella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"46","g__Adhaeribacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"47","g__Hymenobacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"48","g__Spirosoma",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"49","g__Capnocytophaga",-1.6777872473669,2.82167279953147,0.826978615370923,0.146505258318207,-2.02881575917699,19.2598738906889,0.0888093306889013,1.26790621873679e-06,1,0.000243437993997464,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"50","g__Flavobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"51","g__Salinimicrobium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"52","g__Bergeyella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"53","g__Chryseobacterium",0.403331463841096,-0.551363328086403,0.631195546156846,0.6361822355747,0.638996054862643,-0.86667514000658,0.543256296085952,0.487228482524176,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"54","g__Empedobacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"55","g__Mucilaginibacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"56","g__Pedobacter",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"57","g__Sphingobacterium",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"58","g__JG30-KF-CM45",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"59","g__Schizothrix_LEGE_07164",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"60","g__Deinococcus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"61","g__Bacillus",-1.15342688629254,2.52852105280392,0.752424745749833,0.808545337070295,-1.53294650768441,3.12724709039302,0.176184722250075,0.115547121607612,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"62","g__Tuberibacillus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"63","g__Exiguobacterium",2.42572631840481,-3.95631035189396,0.314171589704959,0.299934272947754,7.72102379047969,-13.1905911018816,0.0819945656420863,0.0481160728657535,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"64","g__Abiotrophia",-0.24337600603633,0.35950578638842,1.0451732735876,1.25465920031241,-0.232857089046041,0.286536603962976,0.82510432869692,0.785960724423815,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"65","g__Aerococcus",-1.11484716664042,1.88269600541571,0.677824727412362,0.936796773577816,-1.64474254413294,2.0097165772949,0.241754405292146,0.182187560095862,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"66","g__Eremococcus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"67","g__Atopostipes",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"68","g__Granulicatella",-0.516158367657719,1.07412478238457,0.751245719620737,0.965341036266032,-0.687069961501144,1.11268944552417,0.511460531858598,0.298156266524754,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"69","g__Enterococcus",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"70","g__Lactobacillus",0.103831674599865,0.0549883711814012,0.699849393901476,0.91450223285097,0.148362884221461,0.0601292913304042,0.884520317592797,0.953042461638921,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"71","g__Leuconostoc",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"72","g__Weissella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"73","g__Brochothrix",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"74","g__Listeria",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
