"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Vicinamibacteraceae",-1.08869627555362,1.02760576876643,NA,0.144222139699156,NA,7.12515963852698,1,0.00205111975936551,1,0.00562807251045415,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"2","g__Iamia",0.906026023487665,-1.63905753107176,0.0543857984381795,0.143052297739954,16.6592391673269,-11.4577504658562,7.6062327273286e-05,0.000331142689948398,0.000259303388431657,0.00146092363212529,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"3","g__Actinomyces",0.0470730990867077,-0.019207588798222,0.159204457108856,0.272638138944374,0.295677017726467,-0.070450850613167,0.768327811867904,0.944030134036869,0.860068446120787,0.965485364355889,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__F0332",-0.793237085937506,1.07786904578279,0.0570417301885978,0.151218396852525,-13.9062592125943,7.12789626274092,7.22119850114697e-08,3.18754774872349e-05,1.16054975911291e-06,0.000420589037457977,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"5","g__Mobiluncus",0.196720339036731,-0.58334507887134,0.0451388945248153,0.157709539419447,4.35811158220951,-3.69885728548015,0.00478027685380643,0.0101020517876719,0.0107556229210645,0.0208967572204616,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"6","g__Varibaculum",0.0281735419615232,-0.0989086212331385,0.0718582668275731,0.155919818897096,0.392070992042248,-0.634355670323195,0.700520058895535,0.53540436898846,0.796045521472199,0.611502451890373,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Bifidobacterium",0.598808290631647,-0.864394658275171,0.0531148887497572,0.150631250519781,11.2738312124279,-5.73848159191679,2.91245045336944e-05,0.00121702583496667,0.000123641764529835,0.00383228911772254,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"8","g__Gardnerella",-0.324942791166502,0.745099381557811,0.109607937249431,0.205843946416643,-2.96459179253635,3.61972938494716,0.00964309111228846,0.00252155966463036,0.019141791491873,0.0064359009734136,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"9","g__Corynebacterium",-0.0292722780978498,0.175443823756547,0.264753038958891,0.414402235867891,-0.110564464955566,0.423366016327376,0.912161389831405,0.672847418901267,0.972683946502683,0.742111123788162,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Lawsonella",-0.0225733193724401,0.108351762150062,0.17002908260269,0.310811889625,-0.132761519540675,0.34860880734257,0.894785931052095,0.728492634624063,0.95869921184153,0.795683702866089,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Turicella",-0.273869684334538,0.187670594919472,0.0507975156668528,0.160453820476824,-5.39139918043763,1.16962372327295,0.0016774644971012,0.286507892055437,0.00405838184782548,0.366274293820872,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"12","g__Dietzia",-0.063490247196701,0.115506043380058,0.045439319652979,0.14611376535623,-1.39725347301802,0.790521297555029,0.192565427369245,0.447565051295469,0.251902448593489,0.530011244955161,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Mycobacterium",0.456741426062448,-0.698933103340942,0.0877804997346354,0.185591950833763,5.20322198487362,-3.76596668228885,1.76473650288901e-05,0.000819263538587655,9.32740925316347e-05,0.00279294388154882,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"14","g__Gordonia",-0.165876152945869,-0.035207053277146,0.0864088630678558,0.173871566605735,-1.91966595852104,-0.20248884831745,0.0729126156148145,0.842086967999067,0.109368923422222,0.885371812148552,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Rhodococcus",0.317746862650567,-0.633391303413645,0.0972082053831678,0.169867818476325,3.26872470691231,-3.72873042754666,0.00366789168645044,0.0012404619829607,0.0084211798923607,0.00383228911772254,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"16","g__Williamsia",0.0800207349553938,-0.469086752091215,0.0503796098585319,0.143005420286399,1.58835559028931,-3.280202604571,0.17307177980137,0.021949613461789,0.229065590913578,0.0403088266617233,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"17","g__Blastococcus",0.177872919038783,-0.399475119541009,0.0722333757429158,0.199036134699419,2.46247551369946,-2.00704821837647,0.0217141361638821,0.0566374089800992,0.0375821587451805,0.0891148043393169,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"18","g__Geodermatophilus",-0.0302847366121788,-0.108872754520527,0.032838298142259,0.140809858105745,-0.922238310919225,-0.773189860320474,0.398721425772625,0.474357609647438,0.484931463777517,0.550157021498317,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
