"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"1","g__Vicinamibacteraceae",-1.16707668545569,1.6430071847929,1.31405832383748,1.45483359580073,-0.888146792485924,1.12934371981464,0.431376812171118,0.331137061106216,1,0.843100367035881,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","g__Iamia",0.820236457442305,-1.26173519090575,0.914072699529305,1.09537941252669,0.897342692615894,-1.15187046285207,0.420263951755162,0.313535565581191,1,0.843100367035881,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","g__Actinomyces",-0.0145826876537184,0.30911267950719,0.407271403007186,0.47302612831801,-0.0358058227168508,0.653479080756775,0.971647652038647,0.515847244414392,1,0.900193212289448,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","g__F0332",-0.843413825552223,1.4247198246378,0.601098566333065,0.737938381611103,-1.40312067403084,1.93067586690271,0.190859713842243,0.0823422637250118,1,0.833484378645828,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","g__Mobiluncus",0.158952417194077,-0.248141206607921,1.03790215156733,1.28773993017188,0.153147786575106,-0.192695124841551,0.883302469203363,0.853554655756499,1,0.951838087235147,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","g__Varibaculum",-0.00927451142037189,0.235556494823194,0.514493681757216,0.614338592276596,-0.0180264826356962,0.383431055422183,0.985855322177993,0.706779925621811,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","g__Bifidobacterium",-0.0345668302065046,0.016206322098963,0.806795729101177,0.809190444535054,-0.0428445874955415,0.020027821890896,0.967238312800801,0.985823652418488,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","g__Gardnerella",-0.76718097019101,1.26646685062824,0.883959482799263,0.845923719250662,-0.867891555121455,1.49714072534827,0.410098106474667,0.164727409972919,1,0.833484378645828,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","g__Corynebacterium",-0.146908748315857,0.555553851547142,0.483573688089263,0.438279722806015,-0.303798060015084,1.2675782671174,0.763326003714166,0.208058098353689,1,0.833484378645828,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","g__Lawsonella",-0.238213000322064,0.367741423170965,0.525278694107018,0.482752247964171,-0.453498310505493,0.761760146579903,0.653377685620172,0.449890817683766,1,0.86440349709174,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","g__Turicella",-0.347019209318373,0.544286626244962,1.0885412853931,1.35289241741669,-0.318792878115831,0.402313309793149,0.760689383142381,0.701394142055071,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","g__Dietzia",-0.209599212639727,0.493315318428265,0.51541826937715,0.570894103616476,-0.40665848514259,0.864110025490249,0.69284021059419,0.416058862215861,1,0.86440349709174,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","g__Mycobacterium",0.340258722371593,-0.236163867469531,0.507825512330842,0.569044076604717,0.67003077653554,-0.415018584990176,0.508616238332694,0.681917021089263,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","g__Gordonia",-0.215090776618912,0.30497999608234,0.556324364647415,0.753149319301676,-0.386628359797312,0.404939615911913,0.704124864196061,0.690884304460652,1,0.926477256367225,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","g__Rhodococcus",0.263300554417241,-0.294927299990185,0.479338953778088,0.588882421642648,0.549299305516356,-0.500825443502806,0.588594198207587,0.621702820246846,1,0.926314579666286,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","g__Williamsia",0.00627782185481252,-0.103995782494954,0.638416575042808,0.900297563909305,0.00983342554098249,-0.115512677878833,0.992534476138637,0.912534518415421,1,0.978053774006851,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","g__Blastococcus",-0.163880098425642,0.120442649434015,0.653112186505887,0.686688102378196,-0.250921819882723,0.175396441291014,0.804392953057657,0.862553819056685,1,0.951838087235147,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","g__Geodermatophilus",-0.0974977680443903,0.253604481480373,0.640161567236028,0.798882366799132,-0.152301814158179,0.317449091405641,0.884903880155667,0.763731210353497,1,0.943179470505654,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","g__Modestobacter",-0.383639781137902,1.00411287218831,0.660436664390813,0.921482685810511,-0.580888072729534,1.08967090499928,0.579529232747632,0.311942589803231,1,0.843100367035881,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","g__Nakamurella",-0.911753426588762,0.418430357806571,1.47561583861866,1.435093884377,-0.617879940515048,0.291570023649164,0.577866050192584,0.789576506175475,1,0.943179470505654,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","g__Kineococcus",-0.35923766992738,0.632417234120425,0.598407427746997,0.78900407317251,-0.600322879145918,0.801538617636707,0.563165153492957,0.445272408431958,1,0.86440349709174,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
